ticket_id,gold_category,gold_priority,gold_summary
T000408,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000409,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000410,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000411,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000412,billing,low,Customer reports billing discrepancy or missing invoice details.
T000413,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000414,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000415,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000416,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000417,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000418,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000419,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000420,warranty,high,Customer asks whether product issue is covered under warranty terms.
T000421,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000422,billing,low,Customer reports billing discrepancy or missing invoice details.
T000423,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000424,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000425,billing,high,Customer reports billing discrepancy or missing invoice details.
T000426,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000427,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000428,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000429,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000430,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000431,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000432,refund,urgent,Customer requests update on refund amount and processing time.
T000433,billing,urgent,Customer reports billing discrepancy or missing invoice details.
T000434,refund,low,Customer requests update on refund amount and processing time.
T000435,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000436,refund,low,Customer requests update on refund amount and processing time.
T000437,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000438,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000439,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000440,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000441,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000442,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000443,billing,urgent,Customer reports billing discrepancy or missing invoice details.
T000444,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000445,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000446,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000447,refund,urgent,Customer requests update on refund amount and processing time.
T000448,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000449,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000450,refund,medium,Customer requests update on refund amount and processing time.
T000451,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000452,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000453,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000454,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000455,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000456,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000457,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000458,warranty,high,Customer asks whether product issue is covered under warranty terms.
T000459,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000460,refund,urgent,Customer requests update on refund amount and processing time.
T000461,billing,low,Customer reports billing discrepancy or missing invoice details.
T000462,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000463,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000464,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000465,billing,low,Customer reports billing discrepancy or missing invoice details.
T000466,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000467,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000468,refund,urgent,Customer requests update on refund amount and processing time.
T000469,refund,low,Customer requests update on refund amount and processing time.
T000470,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000471,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000472,warranty,high,Customer asks whether product issue is covered under warranty terms.
T000473,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000474,return_request,medium,"Customer wants to know eligibility, label generation, and return steps."
T000475,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000476,refund,high,Customer requests update on refund amount and processing time.
T000477,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000478,warranty,medium,Customer asks whether product issue is covered under warranty terms.
T000479,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000480,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000481,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000482,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000483,refund,urgent,Customer requests update on refund amount and processing time.
T000484,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000485,refund,high,Customer requests update on refund amount and processing time.
T000486,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000487,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000488,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000489,billing,low,Customer reports billing discrepancy or missing invoice details.
T000490,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000491,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000492,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000493,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000494,refund,high,Customer requests update on refund amount and processing time.
T000495,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000496,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000497,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000498,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000499,return_request,medium,"Customer wants to know eligibility, label generation, and return steps."
T000500,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000501,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000502,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000503,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000504,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000505,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000506,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000507,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000508,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000509,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000510,refund,low,Customer requests update on refund amount and processing time.
T000511,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000512,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000513,refund,urgent,Customer requests update on refund amount and processing time.
T000514,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000515,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000516,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000517,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000518,refund,high,Customer requests update on refund amount and processing time.
T000519,refund,low,Customer requests update on refund amount and processing time.
T000520,refund,high,Customer requests update on refund amount and processing time.
T000521,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000522,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000523,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000524,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000525,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000526,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000527,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000528,refund,medium,Customer requests update on refund amount and processing time.
T000529,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000530,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000531,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000532,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000533,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000534,refund,medium,Customer requests update on refund amount and processing time.
T000535,billing,urgent,Customer reports billing discrepancy or missing invoice details.
T000536,refund,urgent,Customer requests update on refund amount and processing time.
T000537,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000538,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000539,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000540,warranty,medium,Customer asks whether product issue is covered under warranty terms.
T000541,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000542,refund,urgent,Customer requests update on refund amount and processing time.
T000543,refund,high,Customer requests update on refund amount and processing time.
T000544,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000545,billing,high,Customer reports billing discrepancy or missing invoice details.
T000546,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000547,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000548,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000549,billing,low,Customer reports billing discrepancy or missing invoice details.
T000550,refund,high,Customer requests update on refund amount and processing time.
T000551,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000552,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000553,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000554,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000555,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000556,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000557,billing,low,Customer reports billing discrepancy or missing invoice details.
T000558,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000559,refund,low,Customer requests update on refund amount and processing time.
T000560,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000561,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000562,return_request,medium,"Customer wants to know eligibility, label generation, and return steps."
T000563,refund,urgent,Customer requests update on refund amount and processing time.
T000564,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000565,warranty,high,Customer asks whether product issue is covered under warranty terms.
T000566,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000567,refund,low,Customer requests update on refund amount and processing time.
T000568,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000569,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000570,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000571,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000572,billing,urgent,Customer reports billing discrepancy or missing invoice details.
T000573,refund,high,Customer requests update on refund amount and processing time.
T000574,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000575,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000576,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000577,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000578,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000579,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000580,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000581,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000582,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000583,return_request,medium,"Customer wants to know eligibility, label generation, and return steps."
T000584,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000585,billing,low,Customer reports billing discrepancy or missing invoice details.
T000586,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000587,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000588,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000589,billing,high,Customer reports billing discrepancy or missing invoice details.
T000590,refund,high,Customer requests update on refund amount and processing time.
T000591,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000592,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000593,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000594,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000595,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000596,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000597,refund,medium,Customer requests update on refund amount and processing time.
T000598,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000599,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000600,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000601,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000602,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000603,billing,urgent,Customer reports billing discrepancy or missing invoice details.
T000604,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000605,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000606,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000607,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000608,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000609,return_request,medium,"Customer wants to know eligibility, label generation, and return steps."
T000610,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000611,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000612,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000613,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000614,billing,urgent,Customer reports billing discrepancy or missing invoice details.
T000615,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000616,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000617,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000618,refund,urgent,Customer requests update on refund amount and processing time.
T000619,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000620,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000621,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000622,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000623,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000624,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000625,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000626,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000627,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000628,refund,low,Customer requests update on refund amount and processing time.
T000629,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000630,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000631,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000632,refund,high,Customer requests update on refund amount and processing time.
T000633,billing,low,Customer reports billing discrepancy or missing invoice details.
T000634,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000635,refund,low,Customer requests update on refund amount and processing time.
T000636,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000637,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000638,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000639,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000640,refund,high,Customer requests update on refund amount and processing time.
T000641,warranty,high,Customer asks whether product issue is covered under warranty terms.
T000642,return_request,medium,"Customer wants to know eligibility, label generation, and return steps."
T000643,return_request,medium,"Customer wants to know eligibility, label generation, and return steps."
T000644,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000645,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000646,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000647,billing,low,Customer reports billing discrepancy or missing invoice details.
T000648,billing,high,Customer reports billing discrepancy or missing invoice details.
T000649,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000650,billing,low,Customer reports billing discrepancy or missing invoice details.
T000651,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000652,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000653,refund,urgent,Customer requests update on refund amount and processing time.
T000654,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000655,billing,high,Customer reports billing discrepancy or missing invoice details.
T000656,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000657,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000658,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000659,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000660,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000661,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000662,refund,low,Customer requests update on refund amount and processing time.
T000663,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000664,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000665,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000666,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000667,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000668,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000669,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000670,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000671,refund,low,Customer requests update on refund amount and processing time.
T000672,billing,urgent,Customer reports billing discrepancy or missing invoice details.
T000673,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000674,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000675,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000676,billing,high,Customer reports billing discrepancy or missing invoice details.
T000677,billing,high,Customer reports billing discrepancy or missing invoice details.
T000678,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000679,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000680,refund,low,Customer requests update on refund amount and processing time.
T000681,return_request,medium,"Customer wants to know eligibility, label generation, and return steps."
T000682,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000683,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000684,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000685,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000686,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000687,refund,urgent,Customer requests update on refund amount and processing time.
T000688,billing,high,Customer reports billing discrepancy or missing invoice details.
T000689,refund,medium,Customer requests update on refund amount and processing time.
T000690,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000691,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000692,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000693,return_request,medium,"Customer wants to know eligibility, label generation, and return steps."
T000694,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000695,billing,urgent,Customer reports billing discrepancy or missing invoice details.
T000696,refund,high,Customer requests update on refund amount and processing time.
T000697,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000698,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000699,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000700,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000701,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000702,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000703,warranty,medium,Customer asks whether product issue is covered under warranty terms.
T000704,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000705,billing,high,Customer reports billing discrepancy or missing invoice details.
T000706,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000707,billing,low,Customer reports billing discrepancy or missing invoice details.
T000708,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000709,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000710,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000711,warranty,medium,Customer asks whether product issue is covered under warranty terms.
T000712,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000713,billing,low,Customer reports billing discrepancy or missing invoice details.
T000714,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000715,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000716,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000717,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000718,refund,low,Customer requests update on refund amount and processing time.
T000719,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000720,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000721,warranty,high,Customer asks whether product issue is covered under warranty terms.
T000722,refund,medium,Customer requests update on refund amount and processing time.
T000723,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000724,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000725,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000726,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000727,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000728,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000729,billing,high,Customer reports billing discrepancy or missing invoice details.
T000730,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000731,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000732,warranty,high,Customer asks whether product issue is covered under warranty terms.
T000733,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000734,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000735,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000736,billing,low,Customer reports billing discrepancy or missing invoice details.
T000737,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000738,billing,high,Customer reports billing discrepancy or missing invoice details.
T000739,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000740,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000741,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000742,warranty,high,Customer asks whether product issue is covered under warranty terms.
T000743,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000744,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000745,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000746,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000747,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000748,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000749,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000750,warranty,medium,Customer asks whether product issue is covered under warranty terms.
T000751,billing,low,Customer reports billing discrepancy or missing invoice details.
T000752,refund,medium,Customer requests update on refund amount and processing time.
T000753,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000754,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000755,refund,low,Customer requests update on refund amount and processing time.
T000756,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000757,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000758,billing,low,Customer reports billing discrepancy or missing invoice details.
T000759,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000760,refund,low,Customer requests update on refund amount and processing time.
T000761,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000762,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000763,refund,urgent,Customer requests update on refund amount and processing time.
T000764,warranty,medium,Customer asks whether product issue is covered under warranty terms.
T000765,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000766,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000767,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000768,warranty,high,Customer asks whether product issue is covered under warranty terms.
T000769,refund,high,Customer requests update on refund amount and processing time.
T000770,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000771,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000772,refund,low,Customer requests update on refund amount and processing time.
T000773,refund,high,Customer requests update on refund amount and processing time.
T000774,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000775,return_request,medium,"Customer wants to know eligibility, label generation, and return steps."
T000776,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000777,refund,high,Customer requests update on refund amount and processing time.
T000778,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000779,refund,low,Customer requests update on refund amount and processing time.
T000780,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000781,return_request,medium,"Customer wants to know eligibility, label generation, and return steps."
T000782,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000783,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000784,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000785,billing,high,Customer reports billing discrepancy or missing invoice details.
T000786,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000787,refund,urgent,Customer requests update on refund amount and processing time.
T000788,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000789,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000790,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000791,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000792,billing,urgent,Customer reports billing discrepancy or missing invoice details.
T000793,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000794,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000795,billing,high,Customer reports billing discrepancy or missing invoice details.
T000796,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000797,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000798,warranty,high,Customer asks whether product issue is covered under warranty terms.
T000799,billing,low,Customer reports billing discrepancy or missing invoice details.
T000800,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000801,billing,low,Customer reports billing discrepancy or missing invoice details.
T000802,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000803,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000804,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000805,billing,low,Customer reports billing discrepancy or missing invoice details.
T000806,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000807,return_request,medium,"Customer wants to know eligibility, label generation, and return steps."
T000808,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000809,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000810,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000811,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000812,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000813,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000814,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
